	OPERATORE	ID IMPIANTO	TIPO	UBICAZIONE	PROV	ALTITUDINE	CANALE	BOUQUET	ERP MAX H	ERP MAX V	FREQ. CENTRALE/PORTANTE	MUNICIPIO	geometry
0	NOVARADIO A SRL	CNF140567	FM	Radio Marconi 2 - via guglielmo silva - MILANO	MI	129		Radio Marconi 2		44.0	95,0	8	POINT (9.1469444444 45.4791666667)
1	ELITE S.R.L.	CNF140637	FM	RADIO MILLENNIUM MILANO - VIA SAN GALDINO n. 5 - MILANO	MI	126		RADIO MILLENNIUM MILANO		47.0	88,7	8	POINT (9.1666666667 45.4888888889)
2	RADIO ARCOBALENO DI OROBELLO GIUSEPPE & C. S.A.S.	CNF140692	FM	Radio Arcobaleno - Via Casati Grattacielo Breda - Milano	MI	122		Radio Arcobaleno		45.0	89,5	1	POINT (9.1944444444 45.4791666667)
3	ASSOCIAZIONE KRISTALL RADIO MILANO	CNF141301	FM	KRISTALL RADIO MILANO - VIA LODOVICO IL MORO 165 - MILANO	MI	130		KRISTALL RADIO MILANO		30.0	96,4	6	POINT (9.1288888889 45.4405555556)
4	RTL 102,500 HIT RADIO S.R.L.	CNF141458	FM	RTL 102.500 Hit Radio - Via San Galdino 5 - Milano	MI	127		RTL 102.500 Hit Radio		47.0	101,5	8	POINT (9.1669444444 45.4866666667)
5	RADIO CLASSICA S.R.L. IN FORMA ABBREVIATA RADIO CLASS S.R.L.	CNF141470	FM	RADIO CLASSICA 1 - VIA SILVA 36 - MILANO	MI	129		RADIO CLASSICA 1		37.0	94,0	8	POINT (9.1469444444 45.4791666667)
6	ITALIAN INTERNATIONAL RADIO AND MEDIA S.R.L.	CNF141538	FM	CHINA FM - TORRE VELASCA - MILANO	MI	117		CHINA FM		37.0	92,4	1	POINT (9.1905555556 45.4597222222)
7	RADIO COMMUNICATION SERVICES SRL IN VIA BREVE R.C.S. SRL.	CNF141550	FM	RADIO LOMBARDIA - VIA SAPONARO 24 - MILANO	MI	100		RADIO LOMBARDIA		39.0	100,4	5	POINT (9.1666666667 45.4083333333)
8	ELEMEDIA S.P.A.	CNF142461	FM	m2o - VIA SAN GALDINO - MILANO	MI	126		m2o		47.0	91,0	8	POINT (9.1677777778 45.4875)
9	ELEMEDIA S.P.A.	CNF142465	FM	m2o - VIA CASATI ANGOLO REPUBBLICA-BREDA - MILANO	MI	130		m2o			91,7	2	POINT (9.1994444444 45.48)
